State,2547,2548,2549,2550,2551,2552,2553,2554,2555,2556
Bangkok,14976,15158,15625,15796,16884,16608,15919,15175,15557,15130
Central Region,24971,27203,29282,31586,34198,34534,34490,34225,35702,35297   
Northern Region,17080,18118,18524,19301,20197,20014,20330,20085,20585,19145   
Northeastern Region,22281,21654,26070,24515,27201,27527,27515,29007,28719,26963   
Southern Region,7674,8555,8887,9222,10604,10594,10228,10820,10814,10496
